regime,policy,object,U_policy,U_random,delta,improved
10,mode_aware,obj_03_pumpkin,0.417417,0.967802,-0.550385,1
10,mode_aware,obj_04_dolphin,0.078818,0.168783,-0.0899649,1
10,mode_aware,obj_07_pumpkin2,0.202311,0.35223,-0.149918,1
10,mode_aware,obj_09_ball,0.232258,0.600546,-0.368288,1
10,mode_aware,obj_10_pumpkin3,0.501686,1.30979,-0.808102,1
10,mode_aware,obj_11_pine,0.123028,0.223344,-0.100316,1
10,mode_aware,obj_13_mushroom,0.305304,0.817271,-0.511966,1
10,mode_aware,obj_16_friends_cup,0.862042,1.49258,-0.630538,1
10,mode_aware,obj_17_pumpkin5,0.191669,0.2562,-0.0645311,1
10,mode_aware,obj_18_fabric_hat,0.0587939,0.110782,-0.0519883,1
10,mode_aware,obj_19_cylinder,0.0758703,0.152913,-0.0770426,1
10,e_opt,obj_03_pumpkin,0.294909,0.967802,-0.672894,1
10,e_opt,obj_04_dolphin,0.068445,0.168783,-0.100338,1
10,e_opt,obj_07_pumpkin2,0.181822,0.35223,-0.170408,1
10,e_opt,obj_09_ball,0.230909,0.600546,-0.369637,1
10,e_opt,obj_10_pumpkin3,0.454655,1.30979,-0.855133,1
10,e_opt,obj_11_pine,0.0940618,0.223344,-0.129282,1
10,e_opt,obj_13_mushroom,0.300833,0.817271,-0.516438,1
10,e_opt,obj_16_friends_cup,0.549965,1.49258,-0.942615,1
10,e_opt,obj_17_pumpkin5,0.0962792,0.2562,-0.159921,1
10,e_opt,obj_18_fabric_hat,0.0611017,0.110782,-0.0496805,1
10,e_opt,obj_19_cylinder,0.049049,0.152913,-0.103864,1
10,a_opt,obj_03_pumpkin,0.294468,0.967802,-0.673334,1
10,a_opt,obj_04_dolphin,0.0689122,0.168783,-0.0998707,1
10,a_opt,obj_07_pumpkin2,0.182688,0.35223,-0.169541,1
10,a_opt,obj_09_ball,0.231161,0.600546,-0.369385,1
10,a_opt,obj_10_pumpkin3,0.458443,1.30979,-0.851344,1
10,a_opt,obj_11_pine,0.0941227,0.223344,-0.129221,1
10,a_opt,obj_13_mushroom,0.298962,0.817271,-0.518309,1
10,a_opt,obj_16_friends_cup,0.567295,1.49258,-0.925285,1
10,a_opt,obj_17_pumpkin5,0.0994423,0.2562,-0.156758,1
10,a_opt,obj_18_fabric_hat,0.0610869,0.110782,-0.0496953,1
10,a_opt,obj_19_cylinder,0.0505923,0.152913,-0.102321,1
10,d_opt,obj_03_pumpkin,0.297195,0.967802,-0.670607,1
10,d_opt,obj_04_dolphin,0.064757,0.168783,-0.104026,1
10,d_opt,obj_07_pumpkin2,0.184866,0.35223,-0.167363,1
10,d_opt,obj_09_ball,0.227168,0.600546,-0.373378,1
10,d_opt,obj_10_pumpkin3,0.463315,1.30979,-0.846472,1
10,d_opt,obj_11_pine,0.104243,0.223344,-0.1191,1
10,d_opt,obj_13_mushroom,0.278895,0.817271,-0.538376,1
10,d_opt,obj_16_friends_cup,0.578463,1.49258,-0.914118,1
10,d_opt,obj_17_pumpkin5,0.107936,0.2562,-0.148264,1
10,d_opt,obj_18_fabric_hat,0.0579819,0.110782,-0.0528003,1
10,d_opt,obj_19_cylinder,0.0581412,0.152913,-0.0947717,1
100,mode_aware,obj_03_pumpkin,0.38514,1.06937,-0.684226,1
100,mode_aware,obj_04_dolphin,0.071258,0.17302,-0.101762,1
100,mode_aware,obj_07_pumpkin2,0.177106,0.45624,-0.279134,1
100,mode_aware,obj_09_ball,0.225731,0.699075,-0.473344,1
100,mode_aware,obj_10_pumpkin3,0.42412,1.36837,-0.944251,1
100,mode_aware,obj_11_pine,0.11594,0.227935,-0.111995,1
100,mode_aware,obj_13_mushroom,0.255858,0.885998,-0.63014,1
100,mode_aware,obj_16_friends_cup,0.806537,1.60018,-0.793643,1
100,mode_aware,obj_17_pumpkin5,0.193013,0.296889,-0.103876,1
100,mode_aware,obj_18_fabric_hat,0.0544693,0.126704,-0.0722347,1
100,mode_aware,obj_19_cylinder,0.0651414,0.162795,-0.0976541,1
100,e_opt,obj_03_pumpkin,0.186381,1.06937,-0.882986,1
100,e_opt,obj_04_dolphin,0.0642456,0.17302,-0.108774,1
100,e_opt,obj_07_pumpkin2,0.153375,0.45624,-0.302865,1
100,e_opt,obj_09_ball,0.186546,0.699075,-0.51253,1
100,e_opt,obj_10_pumpkin3,0.412611,1.36837,-0.95576,1
100,e_opt,obj_11_pine,0.0862993,0.227935,-0.141636,1
100,e_opt,obj_13_mushroom,0.232607,0.885998,-0.653391,1
100,e_opt,obj_16_friends_cup,0.427428,1.60018,-1.17275,1
100,e_opt,obj_17_pumpkin5,0.0906975,0.296889,-0.206191,1
100,e_opt,obj_18_fabric_hat,0.0565782,0.126704,-0.0701258,1
100,e_opt,obj_19_cylinder,0.0414248,0.162795,-0.121371,1
100,a_opt,obj_03_pumpkin,0.190732,1.06937,-0.878635,1
100,a_opt,obj_04_dolphin,0.0599967,0.17302,-0.113023,1
100,a_opt,obj_07_pumpkin2,0.16942,0.45624,-0.286821,1
100,a_opt,obj_09_ball,0.184424,0.699075,-0.514652,1
100,a_opt,obj_10_pumpkin3,0.351377,1.36837,-1.01699,1
100,a_opt,obj_11_pine,0.0890399,0.227935,-0.138895,1
100,a_opt,obj_13_mushroom,0.232607,0.885998,-0.653391,1
100,a_opt,obj_16_friends_cup,0.42658,1.60018,-1.1736,1
100,a_opt,obj_17_pumpkin5,0.0907982,0.296889,-0.20609,1
100,a_opt,obj_18_fabric_hat,0.0559368,0.126704,-0.0707672,1
100,a_opt,obj_19_cylinder,0.0539966,0.162795,-0.108799,1
100,d_opt,obj_03_pumpkin,0.242803,1.06937,-0.826564,1
100,d_opt,obj_04_dolphin,0.0494325,0.17302,-0.123587,1
100,d_opt,obj_07_pumpkin2,0.165108,0.45624,-0.291132,1
100,d_opt,obj_09_ball,0.165141,0.699075,-0.533934,1
100,d_opt,obj_10_pumpkin3,0.416466,1.36837,-0.951905,1
100,d_opt,obj_11_pine,0.0891624,0.227935,-0.138773,1
100,d_opt,obj_13_mushroom,0.232602,0.885998,-0.653396,1
100,d_opt,obj_16_friends_cup,0.432922,1.60018,-1.16726,1
100,d_opt,obj_17_pumpkin5,0.145854,0.296889,-0.151035,1
100,d_opt,obj_18_fabric_hat,0.0598922,0.126704,-0.0668118,1
100,d_opt,obj_19_cylinder,0.044836,0.162795,-0.11796,1
