object,level,seed,regime,policy,budget,n_improved,E_run
obj_03_pumpkin,0.2,0,10,random48_0,0.1,14,0.0508112346
obj_03_pumpkin,0.2,0,10,random48_0,0.2,28,0.0307756608
obj_03_pumpkin,0.2,0,10,random48_0,0.4,48,0.0105780399
obj_03_pumpkin,0.2,0,10,random48_0,0.6,48,0.0105780399
obj_03_pumpkin,0.2,0,10,random48_0,0.8,48,0.0105780399
obj_03_pumpkin,0.2,0,10,random48_1,0.1,14,0.106252372
obj_03_pumpkin,0.2,0,10,random48_1,0.2,28,0.111411103
obj_03_pumpkin,0.2,0,10,random48_1,0.4,48,0.0105780399
obj_03_pumpkin,0.2,0,10,random48_1,0.6,48,0.0105780399
obj_03_pumpkin,0.2,0,10,random48_1,0.8,48,0.0105780399
obj_03_pumpkin,0.2,0,10,random48_2,0.1,14,0.0131138406
obj_03_pumpkin,0.2,0,10,random48_2,0.2,28,0.00508888088
obj_03_pumpkin,0.2,0,10,random48_2,0.4,48,0.0105780399
obj_03_pumpkin,0.2,0,10,random48_2,0.6,48,0.0105780399
obj_03_pumpkin,0.2,0,10,random48_2,0.8,48,0.0105780399
obj_03_pumpkin,0.2,0,10,random48_3,0.1,14,0.0387725795
obj_03_pumpkin,0.2,0,10,random48_3,0.2,28,0.0157074348
obj_03_pumpkin,0.2,0,10,random48_3,0.4,48,0.0105780399
obj_03_pumpkin,0.2,0,10,random48_3,0.6,48,0.0105780399
obj_03_pumpkin,0.2,0,10,random48_3,0.8,48,0.0105780399
obj_03_pumpkin,0.2,0,10,random48_4,0.1,14,0.0546141846
obj_03_pumpkin,0.2,0,10,random48_4,0.2,28,0.0598144795
obj_03_pumpkin,0.2,0,10,random48_4,0.4,48,0.0105780399
obj_03_pumpkin,0.2,0,10,random48_4,0.6,48,0.0105780399
obj_03_pumpkin,0.2,0,10,random48_4,0.8,48,0.0105780399
obj_03_pumpkin,0.2,0,100,random48_0,0.1,14,0.133749777
obj_03_pumpkin,0.2,0,100,random48_0,0.2,28,0.025916005
obj_03_pumpkin,0.2,0,100,random48_0,0.4,48,0.00111590383
obj_03_pumpkin,0.2,0,100,random48_0,0.6,48,0.00111590383
obj_03_pumpkin,0.2,0,100,random48_0,0.8,48,0.00111590383
obj_03_pumpkin,0.2,0,100,random48_1,0.1,14,0.115401909
obj_03_pumpkin,0.2,0,100,random48_1,0.2,28,0.103328888
obj_03_pumpkin,0.2,0,100,random48_1,0.4,48,0.00111590383
obj_03_pumpkin,0.2,0,100,random48_1,0.6,48,0.00111590383
obj_03_pumpkin,0.2,0,100,random48_1,0.8,48,0.00111590383
obj_03_pumpkin,0.2,0,100,random48_2,0.1,14,0.08976964
obj_03_pumpkin,0.2,0,100,random48_2,0.2,28,0.0883874674
