object,regime,policy,budget,E_osb
obj_03_pumpkin,10,a_opt,0.1,1.2087361167793131
obj_03_pumpkin,10,a_opt,0.2,0.3101266292352825
obj_03_pumpkin,10,a_opt,0.4,0.19834359051597963
obj_03_pumpkin,10,a_opt,0.6,0.19834359051597963
obj_03_pumpkin,10,a_opt,0.8,0.19834359051597963
obj_03_pumpkin,10,d_opt,0.1,1.2396397392022016
obj_03_pumpkin,10,d_opt,0.2,0.3125523830949597
obj_03_pumpkin,10,d_opt,0.4,0.19834359051597963
obj_03_pumpkin,10,d_opt,0.6,0.19834359051597963
obj_03_pumpkin,10,d_opt,0.8,0.19834359051597963
obj_03_pumpkin,10,e_opt,0.1,1.2149039410856741
obj_03_pumpkin,10,e_opt,0.2,0.3101266292352825
obj_03_pumpkin,10,e_opt,0.4,0.19834359051597963
obj_03_pumpkin,10,e_opt,0.6,0.19834359051597963
obj_03_pumpkin,10,e_opt,0.8,0.19834359051597963
obj_03_pumpkin,10,mode_aware,0.1,1.5998432284499835
obj_03_pumpkin,10,mode_aware,0.2,0.7535212662153894
obj_03_pumpkin,10,mode_aware,0.4,0.19834359051597963
obj_03_pumpkin,10,mode_aware,0.6,0.19834359051597963
obj_03_pumpkin,10,mode_aware,0.8,0.19834359051597963
obj_03_pumpkin,10,random,0.1,0.6792228801669771
obj_03_pumpkin,10,random,0.2,0.8297458939700373
obj_03_pumpkin,10,random,0.4,0.9388297399721924
obj_03_pumpkin,10,random,0.6,1.09151826462688
obj_03_pumpkin,10,random,0.8,1.1296893400332186
obj_03_pumpkin,10,random_0,0.1,0.6163591610701735
obj_03_pumpkin,10,random_0,0.2,0.7325773761248214
obj_03_pumpkin,10,random_0,0.4,0.8971313531625983
obj_03_pumpkin,10,random_0,0.6,0.9802917917879991
obj_03_pumpkin,10,random_0,0.8,0.844561523481503
obj_03_pumpkin,10,random_1,0.1,0.7504861070949541
obj_03_pumpkin,10,random_1,0.2,1.007955160665921
obj_03_pumpkin,10,random_1,0.4,1.125050532126255
obj_03_pumpkin,10,random_1,0.6,1.2343889759714755
obj_03_pumpkin,10,random_1,0.8,1.0705089785214597
obj_03_pumpkin,10,random_2,0.1,0.6136158389158043
obj_03_pumpkin,10,random_2,0.2,0.7396466755363922
obj_03_pumpkin,10,random_2,0.4,1.0114623635716302
obj_03_pumpkin,10,random_2,0.6,1.4274926525853198
obj_03_pumpkin,10,random_2,0.8,1.5836649868595394
obj_03_pumpkin,10,random_3,0.1,0.786444713806364
obj_03_pumpkin,10,random_3,0.2,0.9351400584518762
obj_03_pumpkin,10,random_3,0.4,1.0028681507684452
obj_03_pumpkin,10,random_3,0.6,1.0800703974525583
obj_03_pumpkin,10,random_3,0.8,1.2700395988353446
obj_03_pumpkin,10,random_4,0.1,0.6292085799475897
obj_03_pumpkin,10,random_4,0.2,0.7334101990711752
obj_03_pumpkin,10,random_4,0.4,0.6576363002320343
obj_03_pumpkin,10,random_4,0.6,0.7353475053370474
obj_03_pumpkin,10,random_4,0.8,0.8796716124682459
obj_03_pumpkin,100,a_opt,0.1,1.747362105782309
obj_03_pumpkin,100,a_opt,0.2,0.24365616553660907
obj_03_pumpkin,100,a_opt,0.4,0.019191468487322106
obj_03_pumpkin,100,a_opt,0.6,0.019191468487322106
obj_03_pumpkin,100,a_opt,0.8,0.019191468487322106
obj_03_pumpkin,100,d_opt,0.1,1.9960699899378886
obj_03_pumpkin,100,d_opt,0.2,0.40375052272846323
obj_03_pumpkin,100,d_opt,0.4,0.019191468487322106
obj_03_pumpkin,100,d_opt,0.6,0.019191468487322106
obj_03_pumpkin,100,d_opt,0.8,0.019191468487322106
obj_03_pumpkin,100,e_opt,0.1,1.6864449681987927
obj_03_pumpkin,100,e_opt,0.2,0.24365616553660907
obj_03_pumpkin,100,e_opt,0.4,0.019191468487322106
obj_03_pumpkin,100,e_opt,0.6,0.019191468487322106
obj_03_pumpkin,100,e_opt,0.8,0.019191468487322106
obj_03_pumpkin,100,mode_aware,0.1,2.2201069848636625
obj_03_pumpkin,100,mode_aware,0.2,0.9933135964832193
obj_03_pumpkin,100,mode_aware,0.4,0.019191468487322106
obj_03_pumpkin,100,mode_aware,0.6,0.019191468487322106
obj_03_pumpkin,100,mode_aware,0.8,0.019191468487322106
obj_03_pumpkin,100,random,0.1,0.7223075276306059
obj_03_pumpkin,100,random,0.2,0.7688949571738897
obj_03_pumpkin,100,random,0.4,1.1011849754823153
obj_03_pumpkin,100,random,0.6,1.3018634905106778
obj_03_pumpkin,100,random,0.8,1.1649720702080626
obj_03_pumpkin,100,random_0,0.1,0.857113099328339
obj_03_pumpkin,100,random_0,0.2,1.0137963228625197
obj_03_pumpkin,100,random_0,0.4,1.3995401580087663
obj_03_pumpkin,100,random_0,0.6,1.3872286029703342
obj_03_pumpkin,100,random_0,0.8,0.8755625969515363
obj_03_pumpkin,100,random_1,0.1,0.6638336680818909
obj_03_pumpkin,100,random_1,0.2,0.7264778802944519
obj_03_pumpkin,100,random_1,0.4,1.0174510922065139
obj_03_pumpkin,100,random_1,0.6,1.1641761249709137
obj_03_pumpkin,100,random_1,0.8,0.9326686307006539
obj_03_pumpkin,100,random_2,0.1,0.8664393301826879
obj_03_pumpkin,100,random_2,0.2,0.8761425133914269
obj_03_pumpkin,100,random_2,0.4,1.1333802953603282
obj_03_pumpkin,100,random_2,0.6,1.6460051609046387
obj_03_pumpkin,100,random_2,0.8,1.6477538753961405
obj_03_pumpkin,100,random_3,0.1,0.6286180950446797
obj_03_pumpkin,100,random_3,0.2,0.6356707080801944
obj_03_pumpkin,100,random_3,0.4,1.2523610950024162
obj_03_pumpkin,100,random_3,0.6,1.3116369313263117
obj_03_pumpkin,100,random_3,0.8,1.162693732554005
obj_03_pumpkin,100,random_4,0.1,0.5955334455154316
obj_03_pumpkin,100,random_4,0.2,0.5923873612408554
obj_03_pumpkin,100,random_4,0.4,0.7031922368335524
obj_03_pumpkin,100,random_4,0.6,1.0002706323811916
obj_03_pumpkin,100,random_4,0.8,1.2061815154379778
obj_04_dolphin,10,a_opt,0.1,0.2968760367980785
obj_04_dolphin,10,a_opt,0.2,0.12546720914821913
obj_04_dolphin,10,a_opt,0.4,0.029149354841236912
obj_04_dolphin,10,a_opt,0.6,0.029149354841236912
obj_04_dolphin,10,a_opt,0.8,0.029149354841236912
obj_04_dolphin,10,d_opt,0.1,0.2468053033791996
obj_04_dolphin,10,d_opt,0.2,0.12276633776276275
obj_04_dolphin,10,d_opt,0.4,0.029149354841236912
obj_04_dolphin,10,d_opt,0.6,0.029149354841236912
obj_04_dolphin,10,d_opt,0.8,0.029149354841236912
obj_04_dolphin,10,e_opt,0.1,0.279187102991892
obj_04_dolphin,10,e_opt,0.2,0.12918329263248515
obj_04_dolphin,10,e_opt,0.4,0.029149354841236912
obj_04_dolphin,10,e_opt,0.6,0.029149354841236912
obj_04_dolphin,10,e_opt,0.8,0.029149354841236912
obj_04_dolphin,10,mode_aware,0.1,0.22375009594589304
obj_04_dolphin,10,mode_aware,0.2,0.19606948041489156
obj_04_dolphin,10,mode_aware,0.4,0.029149354841236912
obj_04_dolphin,10,mode_aware,0.6,0.029149354841236912
obj_04_dolphin,10,mode_aware,0.8,0.029149354841236912
obj_04_dolphin,10,random,0.1,0.13393759394119362
obj_04_dolphin,10,random,0.2,0.1442149702549662
obj_04_dolphin,10,random,0.4,0.17704561753981668
obj_04_dolphin,10,random,0.6,0.18931889515277484
obj_04_dolphin,10,random,0.8,0.16546001796250143
obj_04_dolphin,10,random_0,0.1,0.14085060065177998
obj_04_dolphin,10,random_0,0.2,0.140575657737521
obj_04_dolphin,10,random_0,0.4,0.174333910616885
obj_04_dolphin,10,random_0,0.6,0.20630003329990573
obj_04_dolphin,10,random_0,0.8,0.1615946496024229
obj_04_dolphin,10,random_1,0.1,0.13176469026579496
obj_04_dolphin,10,random_1,0.2,0.12800064852432283
obj_04_dolphin,10,random_1,0.4,0.15690464597460488
obj_04_dolphin,10,random_1,0.6,0.16558677272456734
obj_04_dolphin,10,random_1,0.8,0.14229745054751552
obj_04_dolphin,10,random_2,0.1,0.1380649773672834
obj_04_dolphin,10,random_2,0.2,0.17778951231834575
obj_04_dolphin,10,random_2,0.4,0.17865513430367874
obj_04_dolphin,10,random_2,0.6,0.18061960767809038
obj_04_dolphin,10,random_2,0.8,0.2144449995311453
obj_04_dolphin,10,random_3,0.1,0.13213325063779593
obj_04_dolphin,10,random_3,0.2,0.1277190885965976
obj_04_dolphin,10,random_3,0.4,0.18650437071481676
obj_04_dolphin,10,random_3,0.6,0.20550985436937216
obj_04_dolphin,10,random_3,0.8,0.18626765533906484
obj_04_dolphin,10,random_4,0.1,0.12687445078331383
obj_04_dolphin,10,random_4,0.2,0.14698994409804386
obj_04_dolphin,10,random_4,0.4,0.18883002608909816
obj_04_dolphin,10,random_4,0.6,0.18857820769193848
obj_04_dolphin,10,random_4,0.8,0.12269533479235857
obj_04_dolphin,100,a_opt,0.1,0.2747589955107888
obj_04_dolphin,100,a_opt,0.2,0.17630108655309043
obj_04_dolphin,100,a_opt,0.4,0.003629191410003065
obj_04_dolphin,100,a_opt,0.6,0.003629191410003065
obj_04_dolphin,100,a_opt,0.8,0.003629191410003065
obj_04_dolphin,100,d_opt,0.1,0.24796952502127287
obj_04_dolphin,100,d_opt,0.2,0.13593139298329818
obj_04_dolphin,100,d_opt,0.4,0.003629191410003065
obj_04_dolphin,100,d_opt,0.6,0.003629191410003065
obj_04_dolphin,100,d_opt,0.8,0.003629191410003065
obj_04_dolphin,100,e_opt,0.1,0.31762847712425085
obj_04_dolphin,100,e_opt,0.2,0.18183950190703724
obj_04_dolphin,100,e_opt,0.4,0.003629191410003065
obj_04_dolphin,100,e_opt,0.6,0.003629191410003065
obj_04_dolphin,100,e_opt,0.8,0.003629191410003065
obj_04_dolphin,100,mode_aware,0.1,0.23252953811649787
obj_04_dolphin,100,mode_aware,0.2,0.2429301491336807
obj_04_dolphin,100,mode_aware,0.4,0.003629191410003065
obj_04_dolphin,100,mode_aware,0.6,0.003629191410003065
obj_04_dolphin,100,mode_aware,0.8,0.003629191410003065
obj_04_dolphin,100,random,0.1,0.1338553039130556
obj_04_dolphin,100,random,0.2,0.14148124757954691
obj_04_dolphin,100,random,0.4,0.19007073153258333
obj_04_dolphin,100,random,0.6,0.19777044906864577
obj_04_dolphin,100,random,0.8,0.1563058467019978
obj_04_dolphin,100,random_0,0.1,0.12152402884719382
obj_04_dolphin,100,random_0,0.2,0.15007670559154607
obj_04_dolphin,100,random_0,0.4,0.14293399499715762
obj_04_dolphin,100,random_0,0.6,0.1604135880455867
obj_04_dolphin,100,random_0,0.8,0.17017301111074623
obj_04_dolphin,100,random_1,0.1,0.12584970578458501
obj_04_dolphin,100,random_1,0.2,0.12923325652718287
obj_04_dolphin,100,random_1,0.4,0.1803463488515377
obj_04_dolphin,100,random_1,0.6,0.1852293234450696
obj_04_dolphin,100,random_1,0.8,0.09836910237582326
obj_04_dolphin,100,random_2,0.1,0.12080181856420569
obj_04_dolphin,100,random_2,0.2,0.12014823261303709
obj_04_dolphin,100,random_2,0.4,0.21102641311162876
obj_04_dolphin,100,random_2,0.6,0.26564545098760073
obj_04_dolphin,100,random_2,0.8,0.23934407763062762
obj_04_dolphin,100,random_3,0.1,0.16712375594943496
obj_04_dolphin,100,random_3,0.2,0.17819592368126913
obj_04_dolphin,100,random_3,0.4,0.23680047172388038
obj_04_dolphin,100,random_3,0.6,0.2365801495545452
obj_04_dolphin,100,random_3,0.8,0.1328782154218996
obj_04_dolphin,100,random_4,0.1,0.13397721041985858
obj_04_dolphin,100,random_4,0.2,0.12975211948469945
obj_04_dolphin,100,random_4,0.4,0.1792464289787122
obj_04_dolphin,100,random_4,0.6,0.1409837333104266
obj_04_dolphin,100,random_4,0.8,0.14076482697089224
obj_07_pumpkin2,10,a_opt,0.1,0.518242364026373
obj_07_pumpkin2,10,a_opt,0.2,0.45515432126165295
obj_07_pumpkin2,10,a_opt,0.4,0.06739293654080707
obj_07_pumpkin2,10,a_opt,0.6,0.06739293654080707
obj_07_pumpkin2,10,a_opt,0.8,0.06739293654080707
obj_07_pumpkin2,10,d_opt,0.1,0.48358171924299714
obj_07_pumpkin2,10,d_opt,0.2,0.4768731892505356
obj_07_pumpkin2,10,d_opt,0.4,0.06739293654080707
obj_07_pumpkin2,10,d_opt,0.6,0.06739293654080707
obj_07_pumpkin2,10,d_opt,0.8,0.06739293654080707
obj_07_pumpkin2,10,e_opt,0.1,0.5070862485733948
obj_07_pumpkin2,10,e_opt,0.2,0.4548296723348299
obj_07_pumpkin2,10,e_opt,0.4,0.06739293654080707
obj_07_pumpkin2,10,e_opt,0.6,0.06739293654080707
obj_07_pumpkin2,10,e_opt,0.8,0.06739293654080707
obj_07_pumpkin2,10,mode_aware,0.1,0.4255920066528999
obj_07_pumpkin2,10,mode_aware,0.2,0.5776118927801558
obj_07_pumpkin2,10,mode_aware,0.4,0.06739293654080707
obj_07_pumpkin2,10,mode_aware,0.6,0.06739293654080707
obj_07_pumpkin2,10,mode_aware,0.8,0.06739293654080707
obj_07_pumpkin2,10,random,0.1,0.3133039300667303
obj_07_pumpkin2,10,random,0.2,0.3447436691076082
obj_07_pumpkin2,10,random,0.4,0.39453828980234384
obj_07_pumpkin2,10,random,0.6,0.37306256175887204
obj_07_pumpkin2,10,random,0.8,0.25663788310367186
obj_07_pumpkin2,10,random_0,0.1,0.361975639234299
